20220928,3,5370
20220929,2,29098
20221003,8,23149
20221001,6,31047
20220926,10,24774
20220927,10,22331
20221005,5,40736
20221004,5,44974
20221005,5,34143
20220928,4,17050
20220928,1,23926
20221002,6,31272
20221002,8,30153
20220930,5,45684
20220930,9,9162
20221003,10,3446
20221002,9,4147
20220927,5,20553
20220926,6,39272
20221002,5,11333
20220929,2,12444
20221001,2,39185
20221005,1,19459
20221003,5,16185
20221004,7,821
20220928,9,23586
20221003,10,8728
20221001,1,36580
20220928,10,29956
20220930,6,21031
20221005,2,13564
20220929,4,47282
20220926,8,4761
20221005,5,286
20220929,7,4361
20221001,6,37700
20220930,7,29345
20221005,8,49416
20220927,10,38360
20221003,8,9399
20220929,3,14131
20220929,10,1497
20220927,8,15886
20220930,4,20840
20221005,6,42210
20220930,5,40064
20221005,7,5441
20221004,2,14813
20221001,3,12682
20220928,6,1371
20221004,7,12311
20220930,2,20527
20220928,2,16170
20220928,3,20198
20220927,3,24279
20221004,3,30627
20221002,7,44791
20221004,7,33796
20221003,7,15895
20220930,2,22535
20220926,4,38631
20220929,6,1997
20220929,6,5524
20220928,3,26890
20221004,1,49302
20220930,1,20359
20220930,9,17146
20221004,3,38642
20220926,3,21631
20220928,9,48141
20220929,10,258
20221003,5,13516
20221003,3,25744
20221005,3,7308
20220930,5,49018
20221002,7,49030
20220927,8,17127
20220929,9,43682
20221001,9,132
20220930,6,25429
20221004,9,2672
20220930,1,38904
20221002,1,30557
20220926,7,40454
20220929,4,16284
20221004,9,3663
20220928,10,21873
20220928,1,29690
20221001,1,15502
20221003,6,44442
20221005,1,25594
20221002,3,30596
20221005,2,1128
20220929,9,23181
20220927,3,36277
20221002,5,42144
20221001,4,6392
20221005,8,23191
20221002,3,38532
20220929,8,20154
20221004,9,23294
20220930,7,39615
20220930,1,15109
20221001,4,18204
20221003,4,3998
20220927,3,39189
20220927,7,13603
20220926,8,14987
20221005,3,504
20220929,5,31235
20220926,3,28294
20220926,6,40606
20220926,3,23590
20221005,3,4024
20221004,7,4839
20221003,2,44274
20220926,10,921
20220926,9,48364
20221001,8,12674
20221001,8,44799
20221002,4,11892
20221005,7,30450
20221001,10,27067
20220929,9,12606
20221005,6,13304
20221003,4,41592
20220927,6,24157
20221001,10,5373
20221003,4,7225
20220926,8,49226
20221003,2,36457
20221005,6,14442
20221003,10,1542
20221005,3,4638
20220927,7,31796
20220930,3,39823
20220930,7,4107
20220930,3,49944
20221003,9,31742
20221004,4,33837
20221002,8,26456
20220927,7,23471
20220929,7,46089
20220927,9,13193
20221002,4,6633
20221005,8,25074
20221002,9,14423
20221003,6,39088
20220927,6,9416
20221005,1,2927
20220930,3,48508
20221003,5,37808
20220928,3,26767
20221005,10,33577
20220930,7,30639
20220930,9,44814
20221003,6,42233
20221002,6,23862
20221001,4,38174
20221001,6,30584
20220930,10,29357
20221003,3,37990
20220928,6,39667
20221002,10,37657
20220929,8,47674
20220927,1,506
20221003,4,14794
20220926,5,31713
20220929,5,15822
20221004,3,5245
20221002,5,6962
20220926,7,35925
20220926,4,35245
20221003,9,25512
20221001,1,47841
20220930,10,32934
20220926,7,7657
20220928,9,10436
20220930,4,20455
20220930,2,6208
20221005,10,43932
20221001,6,18448
20221001,5,4835
20220929,1,39598
20221001,7,35178
20221003,1,17534
20220926,7,37493
20221003,1,1196
20220929,4,20828
20221004,2,34227
20220927,7,9289
20221004,6,16539
20221005,6,5704
20220930,8,1862
20221003,10,11198
20221001,5,31308
20220929,9,27191
20220928,1,35795
20221002,2,32419
20221001,7,40314
20220928,2,9828
20221002,7,15804
20220929,9,16643
20220926,3,9655
20221005,1,20143
20221003,4,7277
20220927,2,8125
20221003,7,17690
20220928,1,1598
20220927,1,14627
20221005,4,30822
20220930,3,28841
20220928,4,20330
20221005,4,48919
20220926,7,42456
20220929,1,15117
20220927,1,30578
20220927,8,13335
20221004,8,32871
20221005,7,13071
20221002,10,34662
20220928,9,11057
20220926,2,40661
20221002,10,41018
20220930,6,6442
20220928,7,30520
20220929,1,9820
20221005,9,20295
20220927,10,34472
20221005,8,16551
20220926,5,45671
20220927,6,40951
20220927,4,9251
20220930,5,48340
20220929,9,13101
20220927,7,10773
20220928,4,40407
20220928,8,44049
20221001,10,18189
20221005,5,37008
20220930,2,2760
20220929,2,16843
20221002,9,29865
20220929,4,25138
20220929,3,31833
20221002,1,15793
20221001,6,8294
20221003,8,26499
20220928,6,18025
20220929,6,23405
20220928,2,36294
20221005,2,37785
20220929,2,35725
20220928,5,25712
20221001,4,42953
20220928,4,46914
20221001,6,45162
20221003,6,42322
20221004,1,38655
20221003,3,44844
20220929,8,11725
20220926,2,12368
20221002,4,45763
20221003,1,11741
20220927,8,15674
20220929,10,16053
20220926,7,44600
20221001,10,15363
20221002,4,47419
20220928,3,41472
20221003,4,41964
20220929,6,42588
20220926,3,25951
20220930,8,7955
20220926,7,10171
20220927,2,9427
20221002,1,30317
20221004,2,22574
20220930,10,35337
20221005,10,37454
20220928,7,19029
20221005,4,28143
20221005,9,18323
20221002,6,8186
20220928,8,42907
20220930,1,841
20220930,7,5913
20221005,3,26066
20221005,4,49674
20220928,6,26651
20221004,7,30601
20220927,3,5704
20221001,1,12233
20221002,1,29037
20220928,5,5618
20220930,9,9778
20220927,1,17643
20220929,9,6904
20221001,5,4091
20221003,10,35224
20221002,8,22537
20221005,7,36835
20221003,4,42498
20220929,7,1162
20221002,7,33390
20220928,6,34294
20221001,4,43063
20221004,2,41216
20221002,6,15809
20221003,7,33131
20221004,3,38010
20221003,6,27064
20220926,3,41563
20220926,4,6783
20221004,5,32932
20221002,5,17864
20221002,8,26307
20221003,9,36781
20220927,1,16571
20220926,6,26047
20221005,8,49961
20221001,8,48975
20220929,1,3515
20221002,10,27209
20220927,9,26629
20220926,3,28328
20221005,4,18898
20220927,6,13988
20221002,2,8424
20220929,4,13399
20220930,6,12397
20221005,2,39545
20221001,6,30219
20220928,5,35331
20220928,6,11089
20220930,7,32480
20220930,1,40348
20221003,3,3202
20220927,10,26667
20220930,2,21249
20220930,9,20598
20221001,10,46456
20220926,10,32734
20221004,4,20124
20220928,8,5757
20220929,1,30395
20220927,5,17831
20220927,2,9260
20221001,5,47964
20220928,4,29592
20221001,8,42220
20220927,1,29291
20220927,4,25044
20221001,8,29365
20220930,8,1320
20221005,9,21285
20220930,8,4335
20220927,10,16387
20220929,6,42459
20220930,6,49093
20220927,2,853
20221002,2,741
20221005,3,31227
20220927,8,4218
20221001,1,29730
20221001,8,24741
20220926,2,22761
20220927,7,46274
20221002,10,25525
20220926,8,18075
20220929,5,34250
20221002,4,31708
20220929,3,5713
20221004,10,12762
20221003,8,242
20220928,1,43254
